customer_id,customer_name,email,product_id,product_name,category,rating,review_title,review_text,review_date,helpful_votes,total_votes,feedback_category
CUST00001,Breanna Rodriguez,,PROD1543,Camera,Electronics,3,Average product,Average product. Throughout method only find already purpose spring century reality painting already.,2025-08-25,1000.0,5000,Neutral
CUST00002,Brian Jackson,andreachoi@example.net,PROD3825,Smartphone,Home,2,,Packaging damaged. Size option yourself food price approach pattern subject wait like leader anything range.,2025-08-29,14.0,37,Critical
CUST00003,Keith Smith,crystal54@example.org,PROD6963,Shoes,Accessories,4,Nice quality,Works well. Himself live left door among wide record also ok him learn difficult where.,2024-10-19,25.0,26,Positive
CUST00004,Betty Brooks,ehanson@example.net,PROD1677,Backpack,Home,5,Loved it,Excellent product. Pick three peace debate discover mean.,2025-01-24,16.0,50,Positive
CUST00005,Jacob Dennis,seansanders@example.org,PROD7783,Tablet,Electronics,5,Loved it,,2025-03-20,21.0,25,Positive
CUST00006,Jared Nelson,wendy73@example.net,PROD4002,Backpack,Fashion,2,Not as expected,Arrived late. Response participant positive try stand method still themselves main doctor.,2025-07-21,5.0,19,Critical
CUST00007,Jeremy Hernandez,howardjordan@example.net,PROD2435,Headphones,Fashion,5,Amazing quality,Amazing quality. Two tax four one push often start up color this nearly very buy.,2024-07-23,42.0,81,Positive
CUST00008,Kelly Montes,kimberly83@example.org,PROD4688,Headphones,Home,2,Packaging damaged,Poor quality. Stuff light point who certainly tax.,2025-11-06,19.0,52,Critical
CUST00009,Peter Perez,anthonysherri@example.org,PROD5460,Headphones,Fashion,4,Works well,Good product. Imagine world son any once within such employee plan black up prevent senior.,2025-10-01,12.0,77,Positive
CUST00010,Tracy Carter,williamsangela@example.org,PROD8652,Tablet,Home,3,Average product,Okay for the price. That through while military check production more will production.,2025-12-25,44.0,79,Neutral
CUST00011,Holly Matthews,scott68@example.com,PROD4627,Camera,Accessories,2,Arrived late,Poor quality. Owner it whether able space medical almost list fact perform sort talk.,2026-06-09,45.0,84,Critical
CUST00012,Elizabeth Edwards,ewalls@example.com,PROD2679,Backpack,Electronics,5,Loved it,Best purchase ever. The trade add difficult house sit card he else available enter what.,2024-12-27,28.0,29,Positive
CUST00013,Joseph Cooper,johnperez@example.com,PROD6161,Watch,Electronics,2,Bad experience,Arrived late. Those why turn decide run cover table stay.,2025-03-29,30.0,65,Critical
